path,id,lon,lat,mc_id,class,color,Continent
mc_11.80_6.76_1.3_20230928_0.zarr,mc_11.80_6.76_1.3_20230928_0,11.8,6.76,mc_11.80_6.76_1.3_20230928_0,broadtree,#9e9e9e,Africa
mc_11.81_6.76_1.3_20230928_0.zarr,mc_11.81_6.76_1.3_20230928_0,11.81,6.76,mc_11.81_6.76_1.3_20230928_0,broadtree,#9e9e9e,Africa
mc_12.24_3.77_1.3_20230928_0.zarr,mc_12.24_3.77_1.3_20230928_0,12.24,3.77,mc_12.24_3.77_1.3_20230928_0,broadtree,#9e9e9e,Africa
mc_12.62_6.47_1.3_20230928_0.zarr,mc_12.62_6.47_1.3_20230928_0,12.62,6.47,mc_12.62_6.47_1.3_20230928_0,broadtree,#9e9e9e,Africa
mc_12.65_3.96_1.3_20230928_0.zarr,mc_12.65_3.96_1.3_20230928_0,12.65,3.96,mc_12.65_3.96_1.3_20230928_0,broadtree,#9e9e9e,Africa
mc_12.82_3.75_1.3_20230928_0.zarr,mc_12.82_3.75_1.3_20230928_0,12.82,3.75,mc_12.82_3.75_1.3_20230928_0,broadtree,#9e9e9e,Africa
mc_13.27_6.48_1.3_20230928_0.zarr,mc_13.27_6.48_1.3_20230928_0,13.27,6.48,mc_13.27_6.48_1.3_20230928_0,broadtree,#9e9e9e,Africa
mc_13.85_4.58_1.3_20230928_0.zarr,mc_13.85_4.58_1.3_20230928_0,13.85,4.58,mc_13.85_4.58_1.3_20230928_0,broadtree,#9e9e9e,Africa
mc_14.00_4.90_1.3_20230928_0.zarr,mc_14.00_4.90_1.3_20230928_0,14.0,4.9,mc_14.00_4.90_1.3_20230928_0,broadtree,#9e9e9e,Africa
mc_14.01_4.48_1.3_20230928_0.zarr,mc_14.01_4.48_1.3_20230928_0,14.01,4.48,mc_14.01_4.48_1.3_20230928_0,broadtree,#9e9e9e,Africa
mc_14.02_4.85_1.3_20230928_0.zarr,mc_14.02_4.85_1.3_20230928_0,14.02,4.85,mc_14.02_4.85_1.3_20230928_0,broadtree,#9e9e9e,Africa
mc_14.06_4.90_1.3_20230928_0.zarr,mc_14.06_4.90_1.3_20230928_0,14.06,4.9,mc_14.06_4.90_1.3_20230928_0,broadtree,#9e9e9e,Africa
mc_14.08_5.60_1.3_20230928_0.zarr,mc_14.08_5.60_1.3_20230928_0,14.08,5.6,mc_14.08_5.60_1.3_20230928_0,broadtree,#9e9e9e,Africa
mc_14.10_4.62_1.3_20230928_0.zarr,mc_14.10_4.62_1.3_20230928_0,14.1,4.62,mc_14.10_4.62_1.3_20230928_0,broadtree,#9e9e9e,Africa
mc_14.12_4.75_1.3_20230928_0.zarr,mc_14.12_4.75_1.3_20230928_0,14.12,4.75,mc_14.12_4.75_1.3_20230928_0,broadtree,#9e9e9e,Africa
mc_14.18_4.83_1.3_20230928_0.zarr,mc_14.18_4.83_1.3_20230928_0,14.18,4.83,mc_14.18_4.83_1.3_20230928_0,broadtree,#9e9e9e,Africa
mc_14.24_4.87_1.3_20230928_0.zarr,mc_14.24_4.87_1.3_20230928_0,14.24,4.87,mc_14.24_4.87_1.3_20230928_0,broadtree,#9e9e9e,Africa
mc_14.26_-14.86_1.3_20230928_0.zarr,mc_14.26_-14.86_1.3_20230928_0,14.26,-14.86,mc_14.26_-14.86_1.3_20230928_0,broadtree,#9e9e9e,Africa
mc_14.44_4.48_1.3_20230928_0.zarr,mc_14.44_4.48_1.3_20230928_0,14.44,4.48,mc_14.44_4.48_1.3_20230928_0,broadtree,#9e9e9e,Africa
mc_14.45_-15.99_1.3_20230928_0.zarr,mc_14.45_-15.99_1.3_20230928_0,14.45,-15.99,mc_14.45_-15.99_1.3_20230928_0,broadtree,#9e9e9e,Africa
mc_14.53_-15.93_1.3_20230928_0.zarr,mc_14.53_-15.93_1.3_20230928_0,14.53,-15.93,mc_14.53_-15.93_1.3_20230928_0,broadtree,#9e9e9e,Africa
mc_14.56_5.90_1.3_20230928_0.zarr,mc_14.56_5.90_1.3_20230928_0,14.56,5.9,mc_14.56_5.90_1.3_20230928_0,broadtree,#9e9e9e,Africa
mc_14.89_-15.30_1.3_20230928_0.zarr,mc_14.89_-15.30_1.3_20230928_0,14.89,-15.3,mc_14.89_-15.30_1.3_20230928_0,broadtree,#9e9e9e,Africa
mc_14.89_-15.39_1.3_20230928_0.zarr,mc_14.89_-15.39_1.3_20230928_0,14.89,-15.39,mc_14.89_-15.39_1.3_20230928_0,broadtree,#9e9e9e,Africa
mc_14.93_-15.43_1.3_20230928_0.zarr,mc_14.93_-15.43_1.3_20230928_0,14.93,-15.43,mc_14.93_-15.43_1.3_20230928_0,broadtree,#9e9e9e,Africa
mc_14.95_4.35_1.3_20230928_0.zarr,mc_14.95_4.35_1.3_20230928_0,14.95,4.35,mc_14.95_4.35_1.3_20230928_0,broadtree,#9e9e9e,Africa
mc_14.98_4.41_1.3_20230928_0.zarr,mc_14.98_4.41_1.3_20230928_0,14.98,4.41,mc_14.98_4.41_1.3_20230928_0,broadtree,#9e9e9e,Africa
mc_15.38_-14.02_1.3_20231018_0.zarr,mc_15.38_-14.02_1.3_20231018_0,15.38,-14.02,mc_15.38_-14.02_1.3_20231018_0,broadtree,#9e9e9e,Africa
mc_15.42_-15.99_1.3_20231018_0.zarr,mc_15.42_-15.99_1.3_20231018_0,15.42,-15.99,mc_15.42_-15.99_1.3_20231018_0,broadtree,#9e9e9e,Africa
mc_15.46_-15.37_1.3_20231018_0.zarr,mc_15.46_-15.37_1.3_20231018_0,15.46,-15.37,mc_15.46_-15.37_1.3_20231018_0,broadtree,#9e9e9e,Africa
mc_15.48_-15.49_1.3_20231018_0.zarr,mc_15.48_-15.49_1.3_20231018_0,15.48,-15.49,mc_15.48_-15.49_1.3_20231018_0,broadtree,#9e9e9e,Africa
mc_15.53_-15.99_1.3_20231018_0.zarr,mc_15.53_-15.99_1.3_20231018_0,15.53,-15.99,mc_15.53_-15.99_1.3_20231018_0,broadtree,#9e9e9e,Africa
mc_15.56_-15.49_1.3_20231018_0.zarr,mc_15.56_-15.49_1.3_20231018_0,15.56,-15.49,mc_15.56_-15.49_1.3_20231018_0,broadtree,#9e9e9e,Africa
mc_15.57_-16.37_1.3_20231018_0.zarr,mc_15.57_-16.37_1.3_20231018_0,15.57,-16.37,mc_15.57_-16.37_1.3_20231018_0,broadtree,#9e9e9e,Africa
mc_15.69_-16.30_1.3_20231018_0.zarr,mc_15.69_-16.30_1.3_20231018_0,15.69,-16.3,mc_15.69_-16.30_1.3_20231018_0,broadtree,#9e9e9e,Africa
mc_15.80_-15.74_1.3_20231018_0.zarr,mc_15.80_-15.74_1.3_20231018_0,15.8,-15.74,mc_15.80_-15.74_1.3_20231018_0,broadtree,#9e9e9e,Africa
mc_15.81_-15.74_1.3_20231018_0.zarr,mc_15.81_-15.74_1.3_20231018_0,15.81,-15.74,mc_15.81_-15.74_1.3_20231018_0,broadtree,#9e9e9e,Africa
mc_15.88_-14.17_1.3_20231018_0.zarr,mc_15.88_-14.17_1.3_20231018_0,15.88,-14.17,mc_15.88_-14.17_1.3_20231018_0,broadtree,#9e9e9e,Africa
mc_15.98_-14.72_1.3_20231018_0.zarr,mc_15.98_-14.72_1.3_20231018_0,15.98,-14.72,mc_15.98_-14.72_1.3_20231018_0,broadtree,#9e9e9e,Africa
mc_16.15_-14.64_1.3_20231018_0.zarr,mc_16.15_-14.64_1.3_20231018_0,16.15,-14.64,mc_16.15_-14.64_1.3_20231018_0,broadtree,#9e9e9e,Africa
mc_16.19_-16.24_1.3_20231018_0.zarr,mc_16.19_-16.24_1.3_20231018_0,16.19,-16.24,mc_16.19_-16.24_1.3_20231018_0,broadtree,#9e9e9e,Africa
mc_16.21_3.32_1.3_20231018_0.zarr,mc_16.21_3.32_1.3_20231018_0,16.21,3.32,mc_16.21_3.32_1.3_20231018_0,broadtree,#9e9e9e,Africa
mc_16.27_-16.65_1.3_20231018_0.zarr,mc_16.27_-16.65_1.3_20231018_0,16.27,-16.65,mc_16.27_-16.65_1.3_20231018_0,broadtree,#9e9e9e,Africa
mc_16.30_-14.46_1.3_20231018_0.zarr,mc_16.30_-14.46_1.3_20231018_0,16.3,-14.46,mc_16.30_-14.46_1.3_20231018_0,broadtree,#9e9e9e,Africa
mc_16.88_-19.86_1.3_20231018_0.zarr,mc_16.88_-19.86_1.3_20231018_0,16.88,-19.86,mc_16.88_-19.86_1.3_20231018_0,broadtree,#9e9e9e,Africa
mc_16.89_-17.38_1.3_20231018_0.zarr,mc_16.89_-17.38_1.3_20231018_0,16.89,-17.38,mc_16.89_-17.38_1.3_20231018_0,broadtree,#9e9e9e,Africa
mc_16.93_8.26_1.3_20231018_0.zarr,mc_16.93_8.26_1.3_20231018_0,16.93,8.26,mc_16.93_8.26_1.3_20231018_0,broadtree,#9e9e9e,Africa
mc_16.94_-16.49_1.3_20231018_0.zarr,mc_16.94_-16.49_1.3_20231018_0,16.94,-16.49,mc_16.94_-16.49_1.3_20231018_0,broadtree,#9e9e9e,Africa
mc_16.98_-15.78_1.3_20231018_0.zarr,mc_16.98_-15.78_1.3_20231018_0,16.98,-15.78,mc_16.98_-15.78_1.3_20231018_0,broadtree,#9e9e9e,Africa
mc_16.98_-19.66_1.3_20231018_0.zarr,mc_16.98_-19.66_1.3_20231018_0,16.98,-19.66,mc_16.98_-19.66_1.3_20231018_0,broadtree,#9e9e9e,Africa
mc_16.99_-15.62_1.3_20231018_0.zarr,mc_16.99_-15.62_1.3_20231018_0,16.99,-15.62,mc_16.99_-15.62_1.3_20231018_0,broadtree,#9e9e9e,Africa
mc_17.03_-15.87_1.3_20231018_0.zarr,mc_17.03_-15.87_1.3_20231018_0,17.03,-15.87,mc_17.03_-15.87_1.3_20231018_0,broadtree,#9e9e9e,Africa
mc_17.05_-19.74_1.3_20231018_0.zarr,mc_17.05_-19.74_1.3_20231018_0,17.05,-19.74,mc_17.05_-19.74_1.3_20231018_0,broadtree,#9e9e9e,Africa
mc_17.06_-19.74_1.3_20231018_0.zarr,mc_17.06_-19.74_1.3_20231018_0,17.06,-19.74,mc_17.06_-19.74_1.3_20231018_0,broadtree,#9e9e9e,Africa
mc_17.08_-15.87_1.3_20231018_0.zarr,mc_17.08_-15.87_1.3_20231018_0,17.08,-15.87,mc_17.08_-15.87_1.3_20231018_0,broadtree,#9e9e9e,Africa
mc_17.10_-19.61_1.3_20231018_0.zarr,mc_17.10_-19.61_1.3_20231018_0,17.1,-19.61,mc_17.10_-19.61_1.3_20231018_0,broadtree,#9e9e9e,Africa
mc_17.12_-17.40_1.3_20231018_0.zarr,mc_17.12_-17.40_1.3_20231018_0,17.12,-17.4,mc_17.12_-17.40_1.3_20231018_0,broadtree,#9e9e9e,Africa
mc_17.14_-17.49_1.3_20231018_0.zarr,mc_17.14_-17.49_1.3_20231018_0,17.14,-17.49,mc_17.14_-17.49_1.3_20231018_0,broadtree,#9e9e9e,Africa
mc_17.14_-19.87_1.3_20231018_0.zarr,mc_17.14_-19.87_1.3_20231018_0,17.14,-19.87,mc_17.14_-19.87_1.3_20231018_0,broadtree,#9e9e9e,Africa
mc_17.18_-15.63_1.3_20231018_0.zarr,mc_17.18_-15.63_1.3_20231018_0,17.18,-15.63,mc_17.18_-15.63_1.3_20231018_0,broadtree,#9e9e9e,Africa
mc_17.21_-19.61_1.3_20231018_0.zarr,mc_17.21_-19.61_1.3_20231018_0,17.21,-19.61,mc_17.21_-19.61_1.3_20231018_0,broadtree,#9e9e9e,Africa
mc_17.22_-15.74_1.3_20231018_0.zarr,mc_17.22_-15.74_1.3_20231018_0,17.22,-15.74,mc_17.22_-15.74_1.3_20231018_0,broadtree,#9e9e9e,Africa
mc_17.23_-17.45_1.3_20231018_0.zarr,mc_17.23_-17.45_1.3_20231018_0,17.23,-17.45,mc_17.23_-17.45_1.3_20231018_0,broadtree,#9e9e9e,Africa
mc_17.26_-19.46_1.3_20231018_0.zarr,mc_17.26_-19.46_1.3_20231018_0,17.26,-19.46,mc_17.26_-19.46_1.3_20231018_0,broadtree,#9e9e9e,Africa
mc_17.28_-17.24_1.3_20231018_0.zarr,mc_17.28_-17.24_1.3_20231018_0,17.28,-17.24,mc_17.28_-17.24_1.3_20231018_0,broadtree,#9e9e9e,Africa
mc_17.30_-19.53_1.3_20231018_0.zarr,mc_17.30_-19.53_1.3_20231018_0,17.3,-19.53,mc_17.30_-19.53_1.3_20231018_0,broadtree,#9e9e9e,Africa
mc_17.32_-19.49_1.3_20231018_0.zarr,mc_17.32_-19.49_1.3_20231018_0,17.32,-19.49,mc_17.32_-19.49_1.3_20231018_0,broadtree,#9e9e9e,Africa
mc_17.35_-17.20_1.3_20231018_0.zarr,mc_17.35_-17.20_1.3_20231018_0,17.35,-17.2,mc_17.35_-17.20_1.3_20231018_0,broadtree,#9e9e9e,Africa
mc_17.36_7.84_1.3_20231018_0.zarr,mc_17.36_7.84_1.3_20231018_0,17.36,7.84,mc_17.36_7.84_1.3_20231018_0,broadtree,#9e9e9e,Africa
mc_17.40_-17.51_1.3_20231018_0.zarr,mc_17.40_-17.51_1.3_20231018_0,17.4,-17.51,mc_17.40_-17.51_1.3_20231018_0,broadtree,#9e9e9e,Africa
mc_17.43_-17.24_1.3_20231018_0.zarr,mc_17.43_-17.24_1.3_20231018_0,17.43,-17.24,mc_17.43_-17.24_1.3_20231018_0,broadtree,#9e9e9e,Africa
mc_17.44_6.50_1.3_20231018_0.zarr,mc_17.44_6.50_1.3_20231018_0,17.44,6.5,mc_17.44_6.50_1.3_20231018_0,broadtree,#9e9e9e,Africa
mc_17.46_-19.53_1.3_20231018_0.zarr,mc_17.46_-19.53_1.3_20231018_0,17.46,-19.53,mc_17.46_-19.53_1.3_20231018_0,broadtree,#9e9e9e,Africa
mc_17.49_-17.37_1.3_20231018_0.zarr,mc_17.49_-17.37_1.3_20231018_0,17.49,-17.37,mc_17.49_-17.37_1.3_20231018_0,broadtree,#9e9e9e,Africa
mc_17.56_9.15_1.3_20231018_0.zarr,mc_17.56_9.15_1.3_20231018_0,17.56,9.15,mc_17.56_9.15_1.3_20231018_0,broadtree,#9e9e9e,Africa
mc_17.57_-17.37_1.3_20231018_0.zarr,mc_17.57_-17.37_1.3_20231018_0,17.57,-17.37,mc_17.57_-17.37_1.3_20231018_0,broadtree,#9e9e9e,Africa
mc_17.62_-13.23_1.3_20231018_0.zarr,mc_17.62_-13.23_1.3_20231018_0,17.62,-13.23,mc_17.62_-13.23_1.3_20231018_0,broadtree,#9e9e9e,Africa
mc_17.62_-13.24_1.3_20231018_0.zarr,mc_17.62_-13.24_1.3_20231018_0,17.62,-13.24,mc_17.62_-13.24_1.3_20231018_0,broadtree,#9e9e9e,Africa
mc_17.68_-16.90_1.3_20231018_0.zarr,mc_17.68_-16.90_1.3_20231018_0,17.68,-16.9,mc_17.68_-16.90_1.3_20231018_0,broadtree,#9e9e9e,Africa
mc_17.68_-17.37_1.3_20231018_0.zarr,mc_17.68_-17.37_1.3_20231018_0,17.68,-17.37,mc_17.68_-17.37_1.3_20231018_0,broadtree,#9e9e9e,Africa
mc_17.69_-13.47_1.3_20231018_0.zarr,mc_17.69_-13.47_1.3_20231018_0,17.69,-13.47,mc_17.69_-13.47_1.3_20231018_0,broadtree,#9e9e9e,Africa
mc_17.72_-17.76_1.3_20231018_0.zarr,mc_17.72_-17.76_1.3_20231018_0,17.72,-17.76,mc_17.72_-17.76_1.3_20231018_0,broadtree,#9e9e9e,Africa
mc_17.75_-17.99_1.3_20231018_0.zarr,mc_17.75_-17.99_1.3_20231018_0,17.75,-17.99,mc_17.75_-17.99_1.3_20231018_0,broadtree,#9e9e9e,Africa
mc_17.81_-16.42_1.3_20231018_0.zarr,mc_17.81_-16.42_1.3_20231018_0,17.81,-16.42,mc_17.81_-16.42_1.3_20231018_0,broadtree,#9e9e9e,Africa
mc_17.81_-17.87_1.3_20231018_0.zarr,mc_17.81_-17.87_1.3_20231018_0,17.81,-17.87,mc_17.81_-17.87_1.3_20231018_0,broadtree,#9e9e9e,Africa
mc_17.82_-17.41_1.3_20231018_0.zarr,mc_17.82_-17.41_1.3_20231018_0,17.82,-17.41,mc_17.82_-17.41_1.3_20231018_0,broadtree,#9e9e9e,Africa
mc_17.82_-17.85_1.3_20231018_0.zarr,mc_17.82_-17.85_1.3_20231018_0,17.82,-17.85,mc_17.82_-17.85_1.3_20231018_0,broadtree,#9e9e9e,Africa
mc_17.85_-16.88_1.3_20231018_0.zarr,mc_17.85_-16.88_1.3_20231018_0,17.85,-16.88,mc_17.85_-16.88_1.3_20231018_0,broadtree,#9e9e9e,Africa
mc_17.95_-16.77_1.3_20231018_0.zarr,mc_17.95_-16.77_1.3_20231018_0,17.95,-16.77,mc_17.95_-16.77_1.3_20231018_0,broadtree,#9e9e9e,Africa
mc_17.99_9.29_1.3_20231018_0.zarr,mc_17.99_9.29_1.3_20231018_0,17.99,9.29,mc_17.99_9.29_1.3_20231018_0,broadtree,#9e9e9e,Africa
mc_18.02_-17.80_1.3_20231018_0.zarr,mc_18.02_-17.80_1.3_20231018_0,18.02,-17.8,mc_18.02_-17.80_1.3_20231018_0,broadtree,#9e9e9e,Africa
mc_18.07_-17.37_1.3_20231018_0.zarr,mc_18.07_-17.37_1.3_20231018_0,18.07,-17.37,mc_18.07_-17.37_1.3_20231018_0,broadtree,#9e9e9e,Africa
mc_18.10_-17.49_1.3_20231018_0.zarr,mc_18.10_-17.49_1.3_20231018_0,18.1,-17.49,mc_18.10_-17.49_1.3_20231018_0,broadtree,#9e9e9e,Africa
mc_18.10_-17.90_1.3_20231018_0.zarr,mc_18.10_-17.90_1.3_20231018_0,18.1,-17.9,mc_18.10_-17.90_1.3_20231018_0,broadtree,#9e9e9e,Africa
mc_18.11_-15.74_1.3_20231018_0.zarr,mc_18.11_-15.74_1.3_20231018_0,18.11,-15.74,mc_18.11_-15.74_1.3_20231018_0,broadtree,#9e9e9e,Africa
mc_18.14_-17.99_1.3_20231018_0.zarr,mc_18.14_-17.99_1.3_20231018_0,18.14,-17.99,mc_18.14_-17.99_1.3_20231018_0,broadtree,#9e9e9e,Africa
mc_18.19_-15.87_1.3_20231018_0.zarr,mc_18.19_-15.87_1.3_20231018_0,18.19,-15.87,mc_18.19_-15.87_1.3_20231018_0,broadtree,#9e9e9e,Africa
mc_18.21_-17.67_1.3_20231018_0.zarr,mc_18.21_-17.67_1.3_20231018_0,18.21,-17.67,mc_18.21_-17.67_1.3_20231018_0,broadtree,#9e9e9e,Africa
mc_18.25_-17.87_1.3_20231018_0.zarr,mc_18.25_-17.87_1.3_20231018_0,18.25,-17.87,mc_18.25_-17.87_1.3_20231018_0,broadtree,#9e9e9e,Africa
mc_18.25_-18.11_1.3_20231018_0.zarr,mc_18.25_-18.11_1.3_20231018_0,18.25,-18.11,mc_18.25_-18.11_1.3_20231018_0,broadtree,#9e9e9e,Africa
mc_18.28_-17.39_1.3_20231018_0.zarr,mc_18.28_-17.39_1.3_20231018_0,18.28,-17.39,mc_18.28_-17.39_1.3_20231018_0,broadtree,#9e9e9e,Africa
